Method	Noise_Level	Relative_L2_Error	Coefficient_Error
PIELM	0.0000000000000000e+00	8.4580680233350462e-05	1.9529677410812241e-06
PIELM	1.0000000000000000e-08	3.7029259722158993e-04	5.4979056185455732e-07
PIELM	9.9999999999999995e-07	4.0864600131823331e-04	1.5550929135521585e-06
PIELM	1.0000000000000000e-04	2.6665855964708484e-03	6.8132423877154125e-06
PIELM	1.0000000000000000e-02	2.1966859729081420e-04	3.7324489861734200e-04
PIELM	1.0000000000000000e+00	2.1653204805839005e-02	3.6067993852317182e-02
RINN	0.0000000000000000e+00	1.5357031133611088e-09	5.1952997459636663e-11
RINN	1.0000000000000000e-08	2.1844896836460347e-09	9.4287888607880177e-10
RINN	9.9999999999999995e-07	4.0896734076244473e-08	6.2860563532218805e-08
RINN	1.0000000000000000e-04	4.8286852920483675e-07	5.7616996840259560e-07
RINN	1.0000000000000000e-02	2.7210529957902920e-04	2.9697744460754905e-04
RINN	1.0000000000000000e+00	2.9719096941983741e-02	3.3051147011727178e-02
